domain,checked_url,final_url,http_status,fetch_error,shopify_detected,shopify_confidence,shopify_signals,checked_at
amyojewelry.com,https://amyojewelry.com,https://amyojewelry.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.616360+00:00
an-other.com,https://an-other.com/,https://an-other.com/,200,,0,none,,2026-03-16T14:32:22.647095+00:00
anacaonaswim.com,https://anacaonaswim.com/,https://anacaonaswim.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.650396+00:00
analuisa.com,https://analuisa.com,https://www.analuisa.com/,200,,1,high,cdn.shopify.com|myshopify.com,2026-03-16T14:32:22.650146+00:00
ananday.com,https://ananday.com/,https://ananday.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.670409+00:00
anatomie.com,https://anatomie.com/,https://anatomie.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.674494+00:00
andi-bagus.com,https://andi-bagus.com,https://andi-bagus.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.687162+00:00
andieswim.com,https://andieswim.com/,https://andieswim.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.751084+00:00
andrew-andrewstevens.com,https://www.andrew-andrewstevens.com/,https://www.andrew-andrewstevens.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.754479+00:00
andsoda.co.uk,https://andsoda.co.uk,https://andsoda.co.uk,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.758969+00:00
anese.co,https://anese.co,https://anese.co,,URLError: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1081),0,none,,2026-03-16T14:32:22.779467+00:00
aneskihome.com,https://www.aneskihome.com/,https://www.atom.com/name/aneskihome.com/rm/3225781,403,HTTPError: 403,0,none,,2026-03-16T14:32:22.842065+00:00
anforh.com,https://anforh.com/,https://anforh.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.840110+00:00
anicorn-watches.com,https://www.anicorn-watches.com/,https://www.anicorn-watches.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.861018+00:00
animalist.art,https://animalist.art/,https://animalist.art/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.874269+00:00
antisocialsocialclub.store,https://antisocialsocialclub.store/,https://antisocialsocialclub.store/,,URLError: timed out,0,none,,2026-03-16T14:32:22.888412+00:00
anuliskin.com,https://www.anuliskin.com,https://www.anuliskin.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.933130+00:00
apexrides.com,https://apexrides.com/,https://apexrides.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.935120+00:00
aplos.world,https://aplos.world/,https://www.aplos.world/,200,,0,none,,2026-03-16T14:32:22.955061+00:00
apolloneuro.com,https://apolloneuro.com,https://apolloneuro.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.972190+00:00
apostrophe.com,https://apostrophe.com,https://www.forhers.com:443/skin-care,403,HTTPError: 403,0,none,,2026-03-16T14:32:23.014204+00:00
apothecary87.co.uk,https://www.apothecary87.co.uk/,https://www.apothecary87.co.uk/,429,HTTPError: 429,0,none,,2026-03-16T14:32:23.024421+00:00
apothemlabs.com,https://apothemlabs.com/,https://grobuzz.co.uk/,200,,0,none,,2026-03-16T14:32:23.031041+00:00
appearance.dk,https://appearance.dk/,https://appearance.dk/,429,HTTPError: 429,0,none,,2026-03-16T14:32:23.082926+00:00
aproperhigh.com,https://aproperhigh.com/,https://aproperhigh.com/,,URLError: [Errno 11001] getaddrinfo failed,0,none,,2026-03-16T14:32:23.110830+00:00
apt2b.com,https://apt2b.com,https://apt2b.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:23.177351+00:00
apupabove.com,https://apupabove.com/,https://apupabove.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:23.222008+00:00
arcofsweden.com,https://arcofsweden.com,https://arcofsweden.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:23.232104+00:00
ardene.com,https://www.ardene.com/,https://www.ardene.com/on/demandware.store/Sites-ardene-Site/en_CA/Default-Start,301,HTTPError: 301,0,none,,2026-03-16T14:32:23.346128+00:00
argentwork.com,https://argentwork.com/,https://argentwork.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:23.347953+00:00
aritzia.com,https://www.aritzia.com/,https://www.aritzia.com/,200,,0,none,,2026-03-16T14:32:23.355475+00:00
arrae.com,https://www.arrae.com/,https://www.arrae.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:23.396369+00:00
